bar_index,timestamp,hour_of_day,symbol,timeframe,direction,grade,confidence,regime,score_structure,score_location,score_momentum,score_orderflow,score_volatility,score_total,cvd_move_ratio,pavp_override,entry_price,target_price,stop_price,outcome,bars_to_outcome
154,2025-12-22 08:00:00,8,BTCUSDT,4h,LONG,A,97.0,TRENDING_UP,25.0,7.0,2.0,13.0,0.0,97.0,1.7875,False,89945.43,91742.80105,88946.890528,LOSS,2
223,2026-01-02 20:00:00,20,BTCUSDT,4h,LONG,B,67.0,TRENDING_UP,-15.0,7.0,2.0,23.0,0.0,67.0,0.3314,False,89995.13,91526.648408,89144.28644,WIN,7
233,2026-01-04 12:00:00,12,BTCUSDT,4h,LONG,A,85.0,TRENDING_UP,-10.0,7.0,12.0,26.0,0.0,85.0,0.1369,False,91334.94,92640.629346,90609.55703,WIN,3
243,2026-01-06 04:00:00,4,BTCUSDT,4h,LONG,A,100.0,TRENDING_UP,20.0,7.0,12.0,12.0,0.0,100.0,1.2705,False,93255.08,94808.421376,92392.112569,LOSS,3
288,2026-01-13 16:00:00,16,BTCUSDT,4h,LONG,A,97.0,TRENDING_UP,25.0,7.0,2.0,13.0,0.0,97.0,0.8618,False,94226.84,95935.144864,93277.781742,WIN,1
298,2026-01-15 08:00:00,8,BTCUSDT,4h,LONG,A,98.0,TRENDING_UP,20.0,7.0,12.0,9.0,0.0,98.0,0.1004,False,96581.08,98567.76331,95477.36705,LOSS,1
546,2026-02-25 16:00:00,16,BTCUSDT,4h,LONG,A,85.0,TRENDING_UP,15.0,7.0,2.0,11.0,0.0,85.0,1.1675,False,69038.26,71272.315911,67797.117827,LOSS,1
576,2026-03-02 16:00:00,16,BTCUSDT,4h,LONG,A,97.0,TRENDING_UP,15.0,7.0,2.0,23.0,0.0,97.0,0.1465,False,68966.53,71727.049614,67432.907992,LOSS,4
586,2026-03-04 08:00:00,8,BTCUSDT,4h,LONG,A,85.0,TRENDING_UP,15.0,7.0,2.0,11.0,0.0,85.0,0.8297,False,71111.4,73991.612355,69511.282025,WIN,2
596,2026-03-06 00:00:00,0,BTCUSDT,4h,LONG,A,88.0,TRENDING_UP,20.0,7.0,8.0,3.0,0.0,88.0,0.4118,False,71080.38,73768.059311,69587.224827,LOSS,3
621,2026-03-10 04:00:00,4,BTCUSDT,4h,LONG,A,85.0,TRENDING_UP,15.0,7.0,2.0,11.0,0.0,85.0,1.5154,False,70406.01,72628.046341,69171.545366,LOSS,7
641,2026-03-13 12:00:00,12,BTCUSDT,4h,LONG,B,69.0,RANGING,5.0,-10.0,2.0,22.0,0.0,69.0,0.2752,False,71831.46,73992.400327,70630.937596,LOSS,2
656,2026-03-16 00:00:00,0,BTCUSDT,4h,LONG,A,100.0,TRENDING_UP,20.0,7.0,12.0,13.0,0.0,100.0,1.2589,False,73573.32,75365.542747,72577.640696,WIN,6
706,2026-03-24 08:00:00,8,BTCUSDT,4h,LONG,B,67.0,TRENDING_UP,5.0,-10.0,2.0,20.0,0.0,67.0,0.4724,False,71157.77,73188.661416,70029.496991,LOSS,1
755,2026-04-01 12:00:00,12,BTCUSDT,4h,LONG,B,73.0,TRENDING_UP,5.0,-5.0,2.0,21.0,0.0,73.0,0.3638,False,68918.52,70747.519629,67902.409095,LOSS,3
783,2026-04-06 04:00:00,4,BTCUSDT,4h,LONG,B,68.0,TRENDING_UP,5.0,-12.0,2.0,23.0,0.0,68.0,0.021,False,69115.91,70387.525243,68409.457087,LOSS,4
794,2026-04-08 00:00:00,0,BTCUSDT,4h,LONG,A,82.0,TRENDING_UP,15.0,5.0,2.0,10.0,0.0,82.0,1.4749,False,71287.39,73176.671161,70237.789355,TIMEOUT,10
806,2026-04-10 00:00:00,0,BTCUSDT,4h,LONG,B,65.0,TRENDING_UP,-10.0,5.0,12.0,8.0,0.0,65.0,0.249,False,71868.67,73726.366899,70836.616167,WIN,10
830,2026-04-14 00:00:00,0,BTCUSDT,4h,LONG,A,98.0,TRENDING_UP,15.0,5.0,2.0,26.0,0.0,98.0,0.0616,False,74444.43,76149.843175,73496.978236,TIMEOUT,10
851,2026-04-17 12:00:00,12,BTCUSDT,4h,LONG,A,100.0,TRENDING_UP,20.0,7.0,12.0,13.0,0.0,100.0,1.7157,False,77785.02,79727.277343,76705.988143,LOSS,5
880,2026-04-22 08:00:00,8,BTCUSDT,4h,LONG,A,97.0,TRENDING_UP,25.0,7.0,2.0,13.0,0.0,97.0,0.9989,False,78300.0,80130.981638,77282.787979,LOSS,6
891,2026-04-24 04:00:00,4,BTCUSDT,4h,LONG,A,89.0,TRENDING_UP,20.0,7.0,8.0,4.0,0.0,89.0,0.3186,False,77644.6,79431.416852,76651.923971,TIMEOUT,10
936,2026-05-01 16:00:00,16,BTCUSDT,4h,LONG,B,72.0,TRENDING_UP,5.0,-10.0,2.0,25.0,0.0,72.0,0.2354,False,78360.0,79778.83276,77571.759578,TIMEOUT,10
946,2026-05-03 08:00:00,8,BTCUSDT,4h,LONG,A,80.0,TRENDING_UP,20.0,7.0,2.0,1.0,0.0,80.0,1.8293,False,78656.01,79781.564807,78030.701774,WIN,4
957,2026-05-05 04:00:00,4,BTCUSDT,4h,LONG,A,84.0,TRENDING_UP,-10.0,7.0,12.0,25.0,0.0,84.0,0.0758,False,80855.59,82488.603057,79948.360524,WIN,7
991,2026-05-10 20:00:00,20,BTCUSDT,4h,LONG,A,87.0,TRENDING_UP,15.0,7.0,2.0,13.0,0.0,87.0,1.0981,False,82210.07,83475.594967,81507.000574,LOSS,1
