bar_index,timestamp,hour_of_day,config,symbol,timeframe,direction,grade,confidence,in_lvn,in_hvn,wme_speed,entry_price,stop_loss,targets_hit,r_multiple,outcome,bars_to_outcome
138,2024-06-11 14:30:00,14,SPY_1h_G,SPY,1h,LONG,B,66.4,False,False,0.7625,535.8625,531.2264,0,1.402,WIN,20
673,2024-10-01 14:30:00,14,SPY_1h_G,SPY,1h,LONG,A,95.0,False,False,1.7209,570.2601,563.2174,0,0.183,WIN,20
1141,2025-01-08 14:30:00,14,SPY_1h_G,SPY,1h,LONG,B,60.8,False,False,0.3874,589.09,580.1711,0,-1.0,LOSS,2
1338,2025-02-20 15:30:00,15,SPY_1h_G,SPY,1h,LONG,B,60.9,False,False,0.3944,610.39,605.2175,0,-1.0,LOSS,3
1672,2025-04-30 13:30:00,13,SPY_1h_G,SPY,1h,LONG,B,69.9,False,False,0.3287,550.48,539.4295,0,-0.037,WIN,1
1820,2025-05-30 14:30:00,14,SPY_1h_G,SPY,1h,LONG,A,77.7,False,False,0.846,590.64,582.2355,0,0.203,WIN,7
2095,2025-07-29 13:30:00,13,SPY_1h_G,SPY,1h,LONG,B,70.2,False,False,0.344,635.32,631.4321,0,0.522,WIN,10
2209,2025-08-20 15:30:00,15,SPY_1h_G,SPY,1h,LONG,A,93.1,False,False,1.2081,638.04,631.8357,0,1.006,WIN,20
2341,2025-09-17 14:30:00,14,SPY_1h_G,SPY,1h,LONG,A,94.2,False,False,1.2826,660.185,656.2089,0,0.401,WIN,2
2356,2025-09-19 15:30:00,15,SPY_1h_G,SPY,1h,LONG,B,61.9,False,False,0.4601,663.62,658.853,0,-0.518,LOSS,20
2389,2025-09-26 13:30:00,13,SPY_1h_G,SPY,1h,LONG,B,62.1,False,False,0.4719,661.725,655.703,0,0.326,WIN,3
2566,2025-10-31 15:30:00,15,SPY_1h_G,SPY,1h,LONG,B,65.3,False,False,0.6898,681.975,674.1896,0,0.296,WIN,1
2606,2025-11-10 13:30:00,13,SPY_1h_G,SPY,1h,LONG,B,60.5,False,False,0.365,680.7815,670.9731,0,-0.075,WIN,1
3006,2026-02-04 15:30:00,15,SPY_1h_G,SPY,1h,LONG,A,75.7,False,False,0.7104,686.12,676.8297,0,-1.0,LOSS,1
