signal_id,timestamp,utc_hour,strategy,symbol,timeframe,mode,direction,grade,confidence,in_session,wme_signal,cvd_signal,in_lvn,entry_price,stop_loss,stop_pct,target_1,target_2,target_3,spot_qty,fut_qty_2x,fut_margin_2x,fut_qty_5x,fut_margin_5x,fut_qty_10x,fut_margin_10x,fut_qty_20x,fut_margin_20x,fut_qty_50x,fut_margin_50x,fut_qty_100x,fut_margin_100x,account_balance,balance_source,status,exit_price,exit_time,r_multiple,pnl_usdt,running_wins,running_losses,running_wr,running_equity,notes
SIG-001,2026-05-19T18:57:33.515516+00:00,18,BTC_G,BTCUSDT,15m,G,SHORT SETUP,C,50.0,True,True,,False,76786.3,0.0,100.0,,,,0.0003,0.0003,9.98,0.0003,3.99,0.0003,2.0,0.0003,1.0,0.0003,0.4,0.0003,0.2,1000.0,kucoin,VOID,,2026-05-20T17:16:06.610842+00:00,,,0,0,0.0,1000.0,Manual test entry - voided before automation
SIG-002,2026-05-20T03:35:40.811563+00:00,3,BTC_G,BTCUSDT,15m,G,NO TRADE,NONE,12.0,True,True,,False,76751.4,0.0,100.0,,,,0.0003,0.0003,10.02,0.0003,4.01,0.0003,2.0,0.0003,1.0,0.0003,0.4,0.0003,0.2,1000.0,kucoin,SKIPPED,,,,,0,0,0.0,1000.0,NO TRADE signal - marked void
SIG-003,2026-05-20T05:34:13.258287+00:00,5,BTC_G,BTCUSDT,15m,G,LONG SETUP,A,100.0,True,True,,False,77150.0,0.0,100.0,,,,0.0003,0.0003,9.99,0.0003,4.0,0.0003,2.0,0.0003,1.0,0.0003,0.4,0.0003,0.2,1000.0,kucoin,VOID,,2026-05-20T17:16:06.610842+00:00,,,0,0,0.0,1000.0,Manual test entry - voided before automation
SIG-004,2026-05-20T06:33:10.368882+00:00,6,BTC_G,BTCUSDT,15m,G,LONG SETUP,A,84.0,True,True,,False,77354.5,0.0,100.0,,,,0.0003,0.0003,10.02,0.0003,4.01,0.0003,2.0,0.0003,1.0,0.0003,0.4,0.0003,0.2,1000.0,kucoin,VOID,,2026-05-20T17:16:06.610842+00:00,,,0,0,0.0,1000.0,Manual test entry - voided before automation
SIG-005,2026-05-20T16:38:58.834605+00:00,16,BTC_G,BTCUSDT,15m,G,SHORT SETUP,C,50.0,True,True,,False,77189.7,77841.0,0.844,,,,0.0307,0.0307,1185.17,0.0307,474.07,0.0307,237.03,0.0307,118.52,0.0307,47.41,0.0307,23.7,1000.0,kucoin,VOID,,2026-05-20T17:16:06.610842+00:00,,,0,0,0.0,1000.0,Manual test entry - voided before automation
SIG-006,2026-05-20T20:01:25.146601+00:00,20,BTC_G,BTCUSDT,15m,G,LONG SETUP,A,88.0,True,True,,False,77630.0,77021.13,0.784,,,,0.0002,0.0002,6.91,0.0002,2.76,0.0002,1.38,0.0002,0.69,0.0002,0.28,0.0002,0.14,52.5,kucoin,WIN,78091.5,2026-05-21T01:53:26.213312+00:00,0.758,0.8,0,1,0.0,53.2959,10x —  | Exit: manual
SIG-007,2026-05-21T21:05:40.510376+00:00,21,BTC_G,BTCUSDT,15m,G,LONG SETUP,C,53.0,True,True,,False,77728.1,77170.31,0.718,,,,0.0003,0.0003,10.18,0.0003,4.07,0.0003,2.04,0.0003,1.02,0.0003,0.41,0.0003,0.2,52.5,kucoin,LOSS,77233.82,2026-05-22T09:08:23.613979+00:00,-0.886,-0.93,0,0,0.0,52.3656,10x — 
SIG-008,2026-05-23T07:44:53.456122+00:00,7,BTC_L,BTCUSDT,15m,L,SHORT SETUP,A,80.0,True,True,,False,75309.9,75633.0,0.429,,,,0.0619,0.0619,2330.84,0.0619,932.34,0.0619,466.17,0.0619,233.08,0.0619,93.23,0.0619,46.62,52.5,kucoin,WIN,75003.9,2026-05-23T08:53:37.529799+00:00,0.947,0.99,2,1,66.7,53.3599,10x —  | Exit: TP1
SIG-009,2026-05-24T07:00:12+00:00,7,BTC_G,BTCUSDT,15m,G,LONG SETUP,A,80.0,True,True,,False,77000.7,76573.83,0.554,77427.6,77641.0,0.0,0.001,,,,,,,,,,,,,52.5,kucoin,WIN,76919.3,2026-05-24T23:20:52+00:00,0.405,0.43,3,1,75.0,53.7852,"Auto+manual close: TP1 hit 77427.6 (10:27 UTC), remainder closed 76919.3 (23:20 UTC)"
SIG-010,2026-05-25T07:25:21.914701+00:00,7,BTC_L,BTCUSDT,15m,L,SHORT SETUP,B,71.0,True,True,,False,77244.3,77753.0,0.659,,,,0.0015,0.0,0.39,0.0,0.16,0.0,0.08,0.0,0.04,0.0,0.02,0.0,0.01,38.8346,kucoin,LOSS,77550.0,2026-05-25T09:41:52.957809+00:00,-0.601,-0.47,3,2,60.0,39.3,10x —  | Exit: STOP
SIG-011,2026-05-26T07:54:22.692118+00:00,7,BTC_L,BTCUSDT,15m,L,SHORT SETUP,B,73.0,True,True,,False,76732.9,77092.44,0.469,,,,0.003,0.0,0.53,0.0,0.21,0.0,0.11,0.0,0.05,0.0,0.02,0.0,0.01,53.3828,kucoin,WIN,77.0,2026-05-26T18:56:45.881372+00:00,213.205,227.63,3,3,50.0,52.93,10x —  | Exit: TP2
